phrase,total_occurrences,bias_score,p_dem,p_rep,n_dem,n_rep
potential,287,0.16112994593290578,0.003946753853339561,0.005462936799472544,169,116
giving,287,0.1340552672236639,0.00406352171882298,0.005321653951210323,174,113
staying home,287,-0.2647376834278901,0.005184493227463802,0.003014034096260714,222,64
gov public,287,0.9171732866881677,0.0005371321812237273,0.012432890647075446,23,264
responsibility,287,-0.20274968518758413,0.0050443717888836994,0.0033436940755392297,216,71
www cdc gov coronavirus,287,-0.057220625275372236,0.004647361046240075,0.004144296882358482,199,88
wrote,287,-0.13255956956975948,0.0048575432041102285,0.003720448337571819,208,79
distance,286,-0.1538678140761855,0.0048808967772069126,0.0035791654893095977,209,76
house gov coronavirus,286,0.07827203075884823,0.004226996730499767,0.004944899689177734,181,105
stepping,286,0.30540965924907915,0.0034329752452125174,0.006451916737308091,147,137
helps,285,0.022498189997461917,0.00436711816907987,0.004568145427145145,187,97
tribal,285,-0.48149852358373885,0.005651564689397478,0.0019779598756710934,242,42
challenge,285,0.24659861005856168,0.0036431574030826716,0.006028068192521428,156,128
must continue,285,-0.20732118513072692,0.005021018215787015,0.003296599792785156,215,70
supply chain,285,0.447253899323987,0.0028958430639887903,0.007582179523405858,124,161
virginia,285,0.24359563991869038,0.0036665109761793552,0.006028068192521428,157,128
medical professionals,285,0.3557229189835244,0.003222793087342363,0.006781576716586606,138,144
navigate,285,-0.0011638381346826781,0.004437178888369921,0.0044268625788829235,190,94
priorities,285,-0.041951244813014286,0.004507239607659972,0.004144296882358482,193,88
reports,285,0.06110763696049236,0.00425035030359645,0.004803616840915513,182,102
demanding,285,-0.7448347846159443,0.0061186361513311536,0.0008947913723273994,262,19
announce,285,-0.27204460894316057,0.005184493227463802,0.00296693981350664,222,63
level,284,0.12651223660822758,0.004016814572629613,0.005180371102948102,172,110
pandemic must,284,-0.6220718695874344,0.005861746847267632,0.001365734199868136,251,29
oversight,283,-0.22114946095195043,0.005021018215787015,0.0032024112272770085,215,68
please visit,283,0.41033465272490205,0.003012610929472209,0.007205425261373269,129,153
currently,283,0.04850472990229214,0.004273703876693134,0.004709428275407365,183,100
three,283,0.14250729418008798,0.003923400280242877,0.005227465385702176,168,111
sending,283,0.24291195025189005,0.0036431574030826716,0.005980973909767354,156,127
ahead,283,-0.03149387525564211,0.004413825315273237,0.004144296882358482,189,88
overcome,282,0.285722445361887,0.003479682391405885,0.0062635396062917965,149,133
talking,282,0.0968736013950526,0.004110228865016347,0.004991993971931808,176,106
500,282,-0.15266669536855765,0.00474077533862681,0.0034849769238014506,203,74
long term,282,-0.19373863025946744,0.0048808967772069126,0.003296599792785156,209,70
nyc,282,-0.8093921457405434,0.006258757589911256,0.0006593199585570312,268,14
international,281,-0.0337159104796861,0.004483886034563288,0.004191391165112556,192,89
committed,281,-0.022902389120034075,0.004437178888369921,0.004238485447866629,190,90
twitter,281,0.048973007722578094,0.004226996730499767,0.004662333992653292,181,99
back work,281,0.5732762951777329,0.0023120037365716955,0.008524065178487332,99,181
senate gov public,281,0.9229795993026755,0.0004904250350303596,0.01224451351605915,21,260
community health,281,-0.18458789533226436,0.0048575432041102285,0.0033436940755392297,208,71
events,281,-0.4766930787622833,0.0055815039701074265,0.0019779598756710934,239,42
flexibility,280,0.37795074628919373,0.0030826716487622604,0.00682867099934068,132,145
https www cdc gov coronavirus,280,-0.055995988677653014,0.004530593180756656,0.004050108316850334,194,86
become,279,0.13067389412162844,0.003946753853339561,0.005133276820194028,169,109
federal funding,278,-0.41454454798355694,0.005347968239140588,0.0022134312894414618,229,47
hotline,278,-0.014947553587052456,0.00436711816907987,0.004238485447866629,187,90
discussing,278,0.2915857174783065,0.0034096216721158337,0.006216445323537723,146,132
along,278,0.0014171813216772738,0.004320411022886501,0.004332674013374776,185,92
www cdc gov coronavirus 2019,278,-0.059249182784598696,0.004507239607659972,0.004003014034096261,193,85
hardest,277,-0.3725980288645933,0.005254553946753854,0.0024018084204577564,225,51
comprehensive,277,-0.5469532325266236,0.005628211116300794,0.001648299896392578,241,35
lot,276,-0.012267080028972232,0.0043437645959831855,0.004238485447866629,186,90
interest,276,0.023095574036714247,0.004226996730499767,0.0044268625788829235,181,94
file,276,-0.04880825974274417,0.004413825315273237,0.004003014034096261,189,85
story,276,0.05505395625119899,0.004133582438113031,0.0046152397098992185,177,98
large,276,0.09209374477255798,0.0039934609995329285,0.004803616840915513,171,102
emergency funding,276,-0.1057799240220368,0.004600653900046707,0.003720448337571819,197,79
lose,276,-0.5226476762992405,0.005558150397010742,0.0017424884619007253,238,37
hhs,275,-0.09450281051461563,0.00455394675385334,0.0037675426203258922,195,80
op ed,275,0.36895541850981983,0.0030826716487622604,0.0066873881510784595,132,142
sobre,275,-0.1095605548730549,0.004577300326950024,0.003673354054817745,196,78
floor,275,0.16463981170866326,0.0037832788416627744,0.005274559668456249,162,112
head,274,-0.32558355307016845,0.005091078935077067,0.002590185551474051,218,55
concerned,274,-0.2776324157814205,0.004997664642690331,0.0028256569652444193,214,60
someone,274,-0.10703300140764299,0.00455394675385334,0.003673354054817745,195,78
